word,meaning,pronunciation,example
addict,중독자,어딕트,He is a drug addict.
addle,혼란시키다,애들,The heat addled his brain.
adept,숙련된,어뎁트,She is adept at playing piano.
adequate,충분한,아데퀏,The salary was adequate.
adhere,고수하다,어드히어,We must adhere to the rules.
adherent,지지자,어드히런트,He is an adherent of the theory.
adjacent,인접한,어제이슨트,The hotel is adjacent to the beach.
adjoin,인접하다,어조인,Our property adjoins the park.
adjourn,휴회하다,어저른,The meeting was adjourned until tomorrow.
adjudicate,재판하다,어주디케이트,The court will adjudicate the case.
adjunct,부가물,어정트,The course is an adjunct to the main program.
adjust,조정하다,어저스트,Please adjust your seat.
administer,관리하다,어드미니스터,She administers the department.
admire,존경하다,어드마이어,I admire your courage.
admit,인정하다,어드밋,He admitted his guilt.
admonish,경고하다,어드모니시,The teacher admonished the student.
adopt,채택하다,어답트,The committee adopted the proposal.
adore,숭배하다,어도어,She adores her grandchildren.
adorn,장식하다,어도른,Flowers adorned the table.
adroit,능숙한,어드로이트,He is adroit at handling difficult situations.
adulate,과찬하다,아줄레이트,The fans adulated the celebrity.
adulterate,섞다,어덜터레이트,They adulterated the wine with water.
adumbrate,예시하다,어덤브레이트,The plan adumbrates future changes.
advance,진보,어드밴스,Technology has advanced rapidly.
advantage,이점,어드밴티지,Height is an advantage in basketball.
advent,도래,어드벤트,The advent of computers changed everything.
adventitious,우연한,어드벤티셔스,The discovery was adventitious.
adversary,적,어드버서리,He defeated his adversary.
adverse,불리한,어드버스,The adverse weather delayed the flight.
advert,언급하다,어드버트,He adverted to the problem.
advocate,옹호하다,어드보케이트,She advocates for children's rights.
aesthetic,미학의,에스세틱,The design has aesthetic appeal.
affable,상냥한,아파블,He is an affable person.
affect,영향을 주다,어펙트,The rain will affect the game.
affection,애정,어펙션,She has great affection for her pets.
affiliate,제휴하다,어필리에이트,The company is affiliated with a university.
affinity,친화력,어피니티,She has an affinity for music.
affirm,확인하다,어펌,The court affirmed the decision.
affix,붙이다,어픽스,Please affix a stamp to the envelope.
afflict,괴롭히다,어플릭트,Many diseases afflict the elderly.
affluent,부유한,어플루언트,They live in an affluent neighborhood.
afford,여유가 있다,어포드,We cannot afford a new car.
affront,모욕,어프런트,His comment was an affront to her.
aficionado,열광자,어피셔나도,He is a wine aficionado.
agenda,의제,어젠다,The meeting agenda is full.
aggravate,악화시키다,아그러베이트,Don't aggravate the situation.
aggregate,집계하다,아그리게이트,The aggregate cost was high.
aggressive,공격적인,어그레시브,He has an aggressive personality.
aggrieve,괴롭히다,어그리브,The decision aggrieved many people.
aghast,놀란,어개스트,She was aghast at the news.
agile,민첩한,아질,The agile cat jumped onto the roof.
agitate,선동하다,아지테이트,The speech agitated the crowd.
agnostic,불가지론자,어그노스틱,He is an agnostic about religion.
agog,열광적인,어고그,The children were agog with excitement.
agony,고통,아고니,She was in agony after the accident.
agreeable,기분 좋은,어그리어블,She has an agreeable personality.
agriculture,농업,아그리컬처,Agriculture is important to the economy.
aground,좌초한,어그라운드,The ship ran aground.
aid,도움,에이드,Foreign aid helped the country.
ail,병들다,에일,What ails you?
aim,목표,에임,Her aim is to become a doctor.
air,공기,에어,The air is fresh in the mountains.
aisle,통로,아일,Please move to the aisle.
ajar,반쯤 열린,어자르,The door was ajar.
akin,유사한,어킨,The two problems are akin.
alacrity,민첩함,어랙리티,She accepted with alacrity.
alarm,경보,어람,The alarm woke everyone up.
albino,알비노,알바이노,The albino rabbit has white fur.
album,앨범,앨범,She bought a new music album.
alchemy,연금술,알케미,Alchemy was practiced in medieval times.
alert,경계하는,얼러트,Stay alert while driving.
alias,가명,에일리어스,He used an alias to hide his identity.
alien,외계인,에일리언,The movie featured aliens.
alienate,소외시키다,에일리네이트,His behavior alienated his friends.
alight,내리다,어라이트,The bird alighted on the branch.
align,정렬하다,어라인,Please align the text to the left.
alike,비슷한,어라이크,The twins look alike.
alimony,위자료,알리모니,She receives alimony from her ex-husband.
allay,완화하다,어레이,The medicine will allay your pain.
allege,주장하다,어레지,They allege that he stole the money.
allegiance,충성,어리전스,He pledged allegiance to the flag.
allegory,우화,알레고리,The story is an allegory about life.
allergy,알레르기,알러지,She has a peanut allergy.
alleviate,완화하다,어리비에이트,The medicine alleviated her pain.
alliance,동맹,어라이언스,The two countries formed an alliance.
allocate,할당하다,알로케이트,We need to allocate resources wisely.
allot,배분하다,어롯,Each student was allotted 30 minutes.
allow,허용하다,어라우,Please allow me to explain.
alloy,합금,알로이,Steel is an alloy of iron and carbon.
allude,암시하다,어루드,He alluded to the problem.
allure,매력,어루어,The allure of fame is strong.
ally,동맹국,알라이,France was an ally during the war.
aloft,위로,어로프트,The flag flew aloft.
alone,혼자,어론,She lives alone.
along,따라서,어롱,Walk along the path.
aloof,냉담한,어루프,He remained aloof from the group.
aloud,소리내어,어라우드,Please read aloud.
alter,변경하다,올터,We need to alter our plans.
altercation,말다툼,올터케이션,The altercation ended in a fight.
alternate,교대하다,올터네이트,They alternate shifts.
alternative,대안,올터너티브,We need an alternative plan.
altitude,고도,알티튜드,The plane flew at high altitude.
altruism,이타주의,알트루이즘,His altruism inspired others.
amalgamate,합병하다,어멜거메이트,The companies will amalgamate.
amass,축적하다,어매스,He amassed a fortune.
amateur,아마추어,아마추어,He is an amateur photographer.
amaze,놀라게 하다,어메이즈,The magic trick amazed everyone.
ambiguous,모호한,앰비규어스,The statement was ambiguous.
ambition,야망,앰비션,She has great ambition.
amble,천천히 걷다,앰블,They ambled through the park.
ambrosia,신들의 음식,앰브로지아,The dessert was like ambrosia.
ambulance,구급차,앰뷸런스,Call an ambulance!
ambush,매복,앰부시,The soldiers set up an ambush.
ameliorate,개선하다,어밀리어레이트,We need to ameliorate conditions.
amenable,수용적인,어미너블,She is amenable to suggestions.
amend,수정하다,어멘드,They will amend the constitution.
amenity,편의시설,어메니티,The hotel has many amenities.
amiable,상냥한,에이미어블,He is an amiable person.
amicable,우호적인,아미커블,They reached an amicable agreement.
amid,한가운데,어미드,She stood amid the crowd.
amiss,잘못된,어미스,Something is amiss here.
amity,우호,아미티,The two nations live in amity.
amnesia,기억상실,앰니지아,He suffered from amnesia.
amnesty,사면,앰네스티,The government granted amnesty.
among,중에서,어몽,She was among the winners.
amoral,도덕 없는,어모럴,The character is amoral.
amorous,애정의,아머러스,He wrote amorous letters.
amorphous,형태 없는,어모퍼스,The cloud had an amorphous shape.
amount,양,어마운트,The amount is too large.
ample,충분한,앰플,There is ample time.
amplify,증폭하다,앰플리파이,The microphone amplifies sound.
amputate,절단하다,앰퓨테이트,The doctor had to amputate the leg.
amuse,즐겁게 하다,어뮤즈,The joke amused everyone.
anachronism,시대착오,어내크로니즘,The car in the medieval movie was an anachronism.
analogous,유사한,어널러거스,The situation is analogous to ours.
analogy,비유,어널러지,He used an analogy to explain.
analyze,분석하다,어널라이즈,We need to analyze the data.
anarchist,무정부주의자,어나키스트,The anarchist protested the government.
anarchy,무정부 상태,어나키,The country fell into anarchy.
anathema,저주받은 것,어내더마,Violence is anathema to him.
anatomy,해부학,어내터미,She studied human anatomy.
ancestor,조상,앵세스터,My ancestors came from Ireland.
anchor,닻,앵커,The ship dropped anchor.
ancient,고대의,에인션트,They discovered ancient ruins.
anecdote,일화,앵닥도트,He told an amusing anecdote.
anemia,빈혈,어니미아,She suffers from anemia.
anesthetic,마취제,어네스세틱,The anesthetic put him to sleep.
anguish,고통,앵귀시,She felt anguish at the loss.
angular,각진,앵귤러,The building has angular lines.
animate,생기 있게 하다,어니메이트,The cartoon was animated.
animosity,적의,어니모시티,There is animosity between them.
annals,연대기,어널즈,The event is recorded in the annals.
annex,부속 건물,어넥스,The school built an annex.
annihilate,전멸시키다,어나이얼레이트,The army annihilated the enemy.
annotate,주석을 달다,어노테이트,Please annotate the text.
announce,발표하다,어나운스,They will announce the winner.
annoy,짜증나게 하다,어노이,The noise annoyed the neighbors.
annual,연간의,앤뉴얼,The annual meeting is in March.
annul,무효화하다,어널,The court annulled the marriage.
anomaly,이상,어놀러미,The result was an anomaly.
anonymous,익명의,어노니머스,The donation was anonymous.
antagonize,적대시하다,앤태거나이즈,Don't antagonize the boss.
antecedent,선행사,앤티시던트,The antecedent of the pronoun is unclear.
antediluvian,대홍수 이전의,앤티딜루비언,His ideas are antediluvian.
anthem,찬가,앤덤,They sang the national anthem.
anthology,선집,앤솔러지,The anthology contains great poems.
anthropology,인류학,앤스롤러지,She studied anthropology.
anticipate,예상하다,앤티시페이트,We anticipate a large crowd.
antidote,해독제,앤티도트,There is no antidote for this poison.
antipathy,반감,앤티퍼시,She has antipathy toward him.
antiquated,낡은,앤티퀘이티드,The equipment is antiquated.
antique,골동품,앤티크,She collects antique furniture.
antiquity,고대,앤티퀴티,The artifact dates from antiquity.
antiseptic,소독제,앤티셉틱,Use antiseptic on the wound.
antithesis,대조,앤티시시스,Good is the antithesis of evil.
anxiety,불안,앵자이어티,She felt anxiety before the exam.
apart,떨어져,어파트,The houses are far apart.
apathetic,무관심한,어퍼세틱,The voters were apathetic.
apathy,무관심,어퍼시,There is widespread apathy.
ape,유인원,에이프,The ape climbed the tree.
aperture,구멍,어퍼추어,Adjust the camera aperture.
apex,정점,에이펙스,He reached the apex of his career.
aphasia,실어증,어페이지아,The stroke caused aphasia.
aphorism,격언,어포리즘,He quoted an old aphorism.
apiary,양봉장,에이피어리,The apiary produces honey.
aplomb,침착,어플롬,She handled it with aplomb.
apocalypse,종말,어포컬립스,The movie depicts an apocalypse.
apocryphal,위조의,어포크리펄,The story is apocryphal.
apologize,사과하다,어폴러자이즈,Please apologize for your mistake.
apology,사과,어폴러지,She accepted his apology.
apostate,배교자,어포스테이트,He was labeled an apostate.
apostrophe,아포스트로피,어포스트로피,Don't forget the apostrophe.
apothecary,약제사,어포더커리,The apothecary prepared the medicine.
appall,소름끼치게 하다,어폴,The news appalled everyone.
apparatus,장치,어퍼래터스,The laboratory apparatus is expensive.
apparel,의복,어패럴,The store sells women's apparel.
apparent,명백한,어패런트,The reason was apparent.
appeal,호소,어필,The appeal was successful.
appear,나타나다,어피어,She will appear in court.
appease,달래다,어피즈,They tried to appease the angry crowd.
append,추가하다,어펜드,Please append your signature.
appendix,부록,어펜딕스,See the appendix for details.
appetite,식욕,어피타이트,He has a good appetite.
applaud,박수갈채하다,어플로드,The audience applauded.
appliance,가전제품,어플라이언스,The kitchen has modern appliances.
applicable,적용 가능한,어플리커블,The rule is applicable here.
apply,적용하다,어플라이,Apply the paint evenly.
appoint,임명하다,어포인트,They will appoint a new director.
apportion,배분하다,어포션,We need to apportion the funds.
apposite,적절한,어포지트,The example was apposite.
appraise,평가하다,어프레이즈,The expert will appraise the painting.
appreciate,감사하다,어프리시에이트,I appreciate your help.
apprehend,체포하다,어프리헨드,The police apprehended the suspect.
apprehensive,걱정하는,어프리헨시브,She was apprehensive about the test.
apprentice,견습생,어프렌티스,He works as an apprentice.
approach,접근하다,어프로치,We need a new approach.
appropriate,적절한,어프로프리에이트,That's not appropriate behavior.
approve,승인하다,어프루브,The committee approved the plan.
approximate,대략의,어프록시메이트,The approximate cost is $100.
apt,적절한,앱트,That's an apt description.
aquatic,수생의,어퀘틱,The park has aquatic plants.
arable,경작 가능한,어러블,The land is arable.
arbiter,중재자,아비터,The judge acted as arbiter.
arbitrary,임의의,아비트러리,The decision seemed arbitrary.
arbitrate,중재하다,아비트레이트,They will arbitrate the dispute.
arbor,정자,아버,They sat in the arbor.
arc,호,아크,The rainbow forms an arc.
arcade,아케이드,아케이드,The shopping center has an arcade.
arcane,비밀의,아케인,The knowledge is arcane.
arch,아치,아치,The bridge has a stone arch.
archaeology,고고학,아키올러지,Archaeology reveals ancient history.
archaic,고풍의,아케이익,The language is archaic.
archetype,원형,아키타입,The hero is an archetype.
archipelago,군도,아키펠라고,The archipelago has many islands.
archive,보관소,아카이브,The documents are in the archive.
ardent,열정적인,아던트,He is an ardent supporter.
ardor,열정,아더,She spoke with ardor.
arduous,힘든,아주어스,The journey was arduous.
arena,경기장,어리나,The concert was in the arena.
argue,논쟁하다,아규,They argue about politics.
arid,건조한,어리드,The desert is arid.
arise,발생하다,어라이즈,Problems may arise.
aristocracy,귀족,어리스토크러시,The aristocracy had privileges.
armor,갑옷,아머,The knight wore armor.
aroma,향기,어로마,The coffee has a pleasant aroma.
arouse,일으키다,어라우즈,The speech aroused enthusiasm.
arraign,기소하다,어레인,They will arraign the suspect.
arrange,배치하다,어레인지,Please arrange the flowers.
array,배열,어레이,The array of choices is impressive.
arrest,체포하다,어레스트,The police arrested him.
arrogant,오만한,어러건트,He is arrogant and rude.
arrow,화살,애로우,The arrow hit the target.
arsenal,무기고,아세널,The country has a large arsenal.
art,예술,아트,She studies art.
artery,동맥,아터리,The artery carries blood.
artful,교묘한,아트풀,He made an artful escape.
article,기사,아티클,The article was interesting.
articulate,명확하게 말하다,아티큘레이트,She can articulate her thoughts well.
artifact,인공물,아티팩트,The museum displays artifacts.
artifice,기교,아티피스,The trick was pure artifice.
artisan,장인,아티잔,The artisan made the pottery.
artist,예술가,아티스트,She is a talented artist.
artless,순수한,아트리스,Her artless charm won them over.
ascend,오르다,어센드,They will ascend the mountain.
ascertain,확인하다,어서테인,We need to ascertain the facts.
ascetic,금욕적인,어세틱,He leads an ascetic life.
ascribe,돌리다,어스크라이브,They ascribe the success to hard work.
aseptic,무균의,어셉틱,The surgery room is aseptic.
ash,재,애시,The fire left only ash.
ashamed,부끄러운,어셰임드,She was ashamed of her behavior.
ask,묻다,애스크,Please ask a question.
askew,비뚤어진,어스큐,The picture is askew.
aspect,양상,애스펙트,Consider every aspect.
aspersion,중상,어스퍼션,He cast aspersions on her character.
asphalt,아스팔트,애스폴트,The road is paved with asphalt.
aspire,열망하다,어스파이어,She aspires to be a doctor.
assail,공격하다,어세일,They assailed the fortress.
assassin,암살자,어사신,The assassin was caught.
assault,공격,어솔트,The assault was brutal.
assay,분석하다,어세이,They will assay the ore.
assemble,조립하다,어셈블,Please assemble the furniture.
assert,주장하다,어서트,He asserted his innocence.
assess,평가하다,어세스,We need to assess the damage.
asset,자산,애셋,The house is a valuable asset.
assiduous,부지런한,어시주어스,She is assiduous in her studies.
assign,할당하다,어사인,The teacher will assign homework.
assimilate,동화하다,어시밀레이트,Immigrants assimilate into society.
assist,도와주다,어시스트,Please assist the customer.
associate,연관시키다,어소시에이트,People associate red with danger.
assorted,다양한,어소티드,The box contains assorted items.
assuage,완화하다,어스웨이지,The medicine will assuage the pain.
assume,가정하다,어슘,Let's assume you're right.
assure,보장하다,어슈어,I assure you it's safe.
asteroid,소행성,애스터로이드,The asteroid passed close to Earth.
asthma,천식,애스마,She has asthma.
astound,놀라게 하다,어스타운드,The news astounded everyone.
astray,길을 잃은,어스트레이,The letter went astray.
astringent,수렴제,어스트린전트,The astringent tightened the skin.
astrology,점성술,어스트롤러지,Some people believe in astrology.
astronaut,우주비행사,애스트로노트,The astronaut walked on the moon.
astronomy,천문학,어스트로너미,He studies astronomy.
astute,예리한,어스튜트,She is an astute observer.
asunder,갈라진,어선더,The ship was torn asunder.
asylum,피난처,어사일럼,He sought political asylum.
asymmetric,비대칭의,어시메트릭,The design is asymmetric.
atavism,퇴행,애터비즘,The trait is an atavism.
atheist,무신론자,에이시스트,He is an atheist.
athlete,운동선수,애슬리트,She is a professional athlete.
atlas,지도책,애틀러스,Check the atlas for the location.
atmosphere,대기,애트머스피어,The atmosphere is polluted.
atom,원자,애텀,The atom is very small.
atone,속죄하다,어톤,He tried to atone for his sins.
atrocity,잔학 행위,어트로시티,The atrocity shocked the world.
atrophy,위축,애트로피,The muscle began to atrophy.
attach,붙이다,어태치,Please attach the file.
attack,공격,어택,The attack came at dawn.
attain,달성하다,어테인,She attained her goal.
attempt,시도하다,어템프트,They will attempt the climb.
attend,참석하다,어텐드,Please attend the meeting.
attendant,종업원,어텐던트,The flight attendant helped.
attention,주의,어텐션,Pay attention to the road.
attenuate,약화시키다,어텐유에이트,The signal was attenuated.
attest,증명하다,어테스트,The document attests to his identity.
attic,다락방,애틱,The boxes are in the attic.
attire,복장,어타이어,The attire is formal.
attitude,태도,애티튜드,She has a positive attitude.
attorney,변호사,어터니,The attorney defended the client.
attract,끌어당기다,어트랙트,The magnet attracts metal.
attribute,속성,애트리뷰트,Kindness is a good attribute.
attrition,마모,어트리션,The war caused attrition.
atypical,비전형적인,어티피컬,The symptoms are atypical.
auction,경매,옥션,The painting was sold at auction.
audacious,대담한,오데이셔스,The plan was audacious.
audible,들리는,오디블,The sound was barely audible.
audience,청중,오디언스,The audience applauded.
audit,감사,오딧,The company conducts an annual audit.
augment,증가시키다,오그먼트,They will augment the staff.
augur,예언하다,오거,The signs augur well.
august,장엄한,오거스트,The ceremony was august.
aura,기운,오라,She has a mysterious aura.
auspicious,길한,오스피셔스,The date is auspicious.
austere,엄격한,오스티어,The room was austere.
authentic,진짜의,오센틱,The painting is authentic.
author,작가,오더,The author wrote many books.
authority,권위,오소리티,He has no authority here.
authorize,승인하다,오소라이즈,The manager will authorize the purchase.
autobiography,자서전,오토바이오그래피,He wrote his autobiography.
autocracy,독재,오토크러시,The country was an autocracy.
autograph,서명,오토그래프,She got the star's autograph.
automatic,자동의,오토매틱,The door is automatic.
autonomous,자율적인,오토너머스,The region is autonomous.
autopsy,부검,오톱시,The autopsy revealed the cause.
auxiliary,보조의,오그질리어리,The auxiliary engine started.
avail,이용하다,어베일,Nothing will avail you now.
available,이용 가능한,어베일러블,The book is available online.
avalanche,눈사태,애벌랜치,The avalanche buried the village.
avant-garde,전위적인,어반트 가르드,The art is avant-garde.
avarice,탐욕,애버리스,His avarice knew no bounds.
avenge,복수하다,어벤지,He vowed to avenge his father.
avenue,대로,애버뉴,They walked down the avenue.
aver,단언하다,어버,He averred his innocence.
average,평균,애버리지,The average age is 25.
averse,싫어하는,어버스,She is averse to risk.
avert,피하다,어버트,He tried to avert disaster.
aviary,조류 사육장,에이비어리,The zoo has a large aviary.
aviation,항공,에이비에이션,He works in aviation.
avid,열렬한,애비드,She is an avid reader.
avoid,피하다,어보이드,Please avoid that area.
avow,공언하다,어바우,He avowed his support.
awake,깨어 있는,어웨이크,Are you awake?
award,상,어워드,She won an award.
aware,알고 있는,어웨어,Are you aware of the problem?
awe,경외,오,The view filled them with awe.
awkward,어색한,오크워드,The situation was awkward.
awning,차양,오닝,The awning provides shade.
awry,비뚤어진,어라이,The plan went awry.
axiom,공리,액시엄,That's a basic axiom.
axis,축,액시스,The Earth rotates on its axis.
azure,하늘색,애주어,The azure sky was clear.

